heroID,userName,walletAddr,tokenData,walletONEbalance,mainClass,Level,Summoner,Assistant,Main class,Sub class,Profession,Gender,Element,Xp,Level,Hp,Mp,Sp,Stamina,Summons,Stat boost1,Stat boost2,Strength,Endurance,Wisdom,Vitality,Dexterity,Intelligence,Luck,Agility,Mining,Gardening,Foraging,Fishing
35, Cocomelon,0x9952814d76a916725a3b3eb4d7154a2826103640,2.97533703961e-07 TRANQ;13000.0 xJEWEL;1.0 HSNAKE;18357.7781940446 SPAM;1e-18 LUNA;1e-18 AVAX;1.2327427328687e-05 FTM;4e-18 WMATIC;4.36568873e-10 VENOM-LP;0.000214624497423527 1CRV;25.0 USBL;7e-09 DKONE;1e-09 DKBTC;8.574447338e-09 DAIKI;0.005246589716684151 SONIC-LP;3104.0 DFKRCKRT;1642.0 DFKRGWD;524.5079484012741 FATE;7.06460983e-10 1DAI;7.0 DFKGREGG;5.0146e-05 COSMIC;885.5420704395074 JEWEL;35363.917 DFKGOLD;5255.0 DFKTEARS;23.090405074280774 MAGIC;100.0 DFKGLDVN;1633.0 DFKAMBRTFY;126.0 DFKSHVAS;2138.0 DFKDRKWD;1.65912151e-10 stONE;4.77874358e-10 1ETH;22.43794047789634 FIRA;6.0 DFKBLUEEGG;47.053261242 sWAGMI;3.92770021073e-07 UST;2.0 DFKGOLDEGG;475.0 DFKRDLF;1925.0 DFKBLOATER;348.0 DFKSWFTHSL;,3981.946962548502,ARCHER,Gen 0 - RARE,,,Archer,Archer,foraging,female,lightning,3931,4,226,46,0,27,∞,VIT,VIT,12,10,8,11,19,8,10,9,0,0,131,0
23, Loveable One,0x341d89d4bda044e91d8f6b0e5ecc4fbd53fe20a0,81.2308272622476 GRAV;1.60289873759e-07 TRANQ;17.5 BOSS;0.975899 1USDC;167.0 DFKAMBRTFY;217.0 DFKRDLF;21802.379600289383 xJEWEL;37.0 DFKGLDVN;43.0 DFKSWFTHSL;1.0 DFKBLUEEGG;3443653.31516839 APE;2.0 HSNAKE;4.24297009592e-07 LUNA;6279085395916.654 KIBA;0.006276850264893671 DFL;113253.425579789 SMUG;23514830.294818383 SPOOKY;25.0 USBL;69.0 LUVPASTA;16500000.0 PYRO;1.5528e-14 bscMATIC;1304.9118205829473 DJJ;200.0 ANT;1399.0 DFKTEARS;537.0 DFKBLOATER;5.575539568345324 JEWEL;0.003883267818600115 HVILLE;55.0 DFKSHVAS;100.0 MIS;500000.0 STF;0.000428288645240659 WMATIC;323.0 DFKRCKRT;215.0 DFKDRKWD;11937.563 DFKGOLD;823.0 DFKRGWD;0.090989682951493 AVAX;0.000602071495828704 CHAD;,536.1873168588642,MONK,Gen 0 - RARE,,,Monk,Monk,foraging,female,fire,3861,4,224,50,0,27,∞,VIT,INT,11,11,9,17,13,6,7,9,34,0,140,0
6, SpicyMapleCat,0x7454f88ae2acbcfb13a66a15b1798c9400d9eadb,179.242 DFKGOLD;1.0 DFKGOLDEGG;121891.31277687778 xJEWEL;5.0 DFKSWFTHSL;3.0 DFKGLDVN;9.0 DFKSHVAS;25.0 DFKRDLF;5.0 DFKAMBRTFY;28.0 DFKBLOATER;3755.8950061987475 JEWEL;10.0 DFKRCKRT;17.0 DFKTEARS;17.0 DFKDRKWD;32.0 DFKRGWD;6223.916845651251 JEWEL-LP;26031.0 JEWEL;,479484.3340620112,MONK,Gen 0 - MYTHIC,,,Monk,Warrior,mining,female,fire,870,1,135,40,0,25,∞,STR,END,12,8,8,9,8,10,7,10,4,0,1,0
27, bigcahoona,0xa51b6a002c58636c1be88c223404e99ed6e8d048,1.4695491414106439 stONE;200.0 QBOND;0.14915657 1WBTC;87.0 DFKSWFTHSL;41.0 DFKSHVAS;122.65134174468808 JEWEL-LP;1.4556226646082e-05 xQUARTZ;5.6726657833404e-05 QSHARE;393.47764023089013 HLY;1499.0 DFKBLOATER;615.0 DFKRCKRT;1696.0 DFKRGWD;3476.562259478721 xJEWEL;338.0 DFKAMBRTFY;452.0 DFKRDLF;96.0 DFKGLDVN;467.0 DFKDRKWD;130.94027782371168 UST;6.995874963026751 JEWEL-LP;8.0872080627199e-05 AVAX;17.92836796223267 TRANQ;3.0 DFKGOLDEGG;1145.377 DFKGOLD;1.0 DFKBLUEEGG;18.928628064874708 HNYAN;1.2086185838307106 EGGT;9.99999750913e-07 xTRANQ;154205.94327222355 SYRUP;7.5858986177e-08 LUNA;1.0 HSNAKE;0.05173808588465912 bscBNB;261.0 LUMEN;1.591921 1USDC;454.50025092975034 HVILLE;0.000402427889605488 1ETH;0.653977 1USDT;2.970877289827159 FIRA;270.0 BLU3OG;1695.0 DFKTEARS;74.40029264405366 JEWEL;,191.10369761421444,PRIEST,Gen 0 - RARE,,,Priest,Archer,fishing,male,wind,2856,3,146,78,0,26,∞,LCK,LCK,7,7,15,7,6,11,14,9,0,0,0,102
38, Raph,0x1465ca68295a9a2ee3bb38cfff1e68850f6e00b6,76.0 DFKRDLF;249.0 DFKRGWD;16.94935010919167 JEWEL;1466.0 DFKTEARS;95.0 DFKRCKRT;1.0 DFKBLUEEGG;5147.258423796312 xJEWEL;5.66347876527e-07 UST;41.0 DFKSWFTHSL;44.0 DFKGLDVN;86.0 DFKDRKWD;6526.136 DFKGOLD;40.0 DFKAMBRTFY;95.0 DFKBLOATER;5.0 DFKSHVAS;860000000.0 DUST;100000.0 XLT;1000000000.0 CZR;,138.7520639721634,WARRIOR,Gen 0 - LEGENDARY,,,Warrior,Knight,foraging,male,light,1800,4,298,42,0,27,∞,VIT,AGI,19,11,7,14,9,6,10,11,48,0,109,0
8, Snorg,0x9bebf0f93186f79ebf5acb2728f0d3e524c1ec5a,68.0 DFKRCKRT;1357.0 DFKTEARS;62.0 DFKBLOATER;24.0 DFKSWFTHSL;35.0 DFKSHVAS;7362.5 DFKGOLD;24999.99997908914 xJEWEL;83.0 DFKRGWD;77.0 DFKRDLF;55.0 DFKDRKWD;446.71621383994824 JEWEL;3379.794613760871 SPEED;2.2995732564107e-05 JEWEL-LP;10.000000605112577 UST;14.0 DFKAMBRTFY;29.0 DFKGLDVN;100000.0 HPLAY;1.0 DFKGOLDEGG;4e-15 JEWEL-LP;1.0 HSNAKE;2023.57853901 OPNION;57177.498694247 SMUG;1.0 MET;25558.833912462083 WONE;100.0 ANT;23945.0 JEWEL;,106.96631697291564,KNIGHT,Gen 0 - MYTHIC,,,Knight,Warrior,mining,male,lightning,282,4,231,63,0,27,∞,STR,END,17,16,9,13,8,7,12,10,63,14,22,10
16, Apollogar,0xafc2a2fc2939a0dba76c92c6e3549e34207596e1,1547.0 DFKTEARS;108.0 DFKRCKRT;168.0 DFKRGWD;68.0 DFKDRKWD;33378.48641170116 xJEWEL;7.0 DFKSWFTHSL;2.0 DFKGLDVN;19.0 DFKRDLF;45.0 DFKAMBRTFY;323.0 DFKBLOATER;23.0 DFKSHVAS;49494.06582 1USDC;1247.97 DFKGOLD;46.15356059688357 JEWEL;,155.86206999728142,MONK,Gen 0 - MYTHIC,,,Monk,Warrior,mining,male,dark,632,4,237,50,0,27,∞,END,STR,16,12,10,15,12,8,8,13,97,3,0,20
57,---,N/A,,0,WARRIOR,Gen 0 - MYTHIC,,,Warrior,Monk,gardening,female,ice,1128,5,319,33,0,27,∞,STR,END,22,12,8,23,14,8,13,9,0,125,42,0
40, MagBink,0x5dbe012b25faa01f4a22483366487b17b936850c,397.0 DFKRCKRT;28.01723187068342 JEWEL;2662.0 DFKTEARS;849.0 DFKRGWD;198.0 DFKAMBRTFY;2.0 DFKBLUEEGG;1798.0 DFKBLOATER;246.0 DFKRDLF;241.0 DFKDRKWD;23937.648 DFKGOLD;30.0 DFKSHVAS;30.0 DFKSWFTHSL;50.0 DFKGLDVN;1020.5930332333637 VINCI;1.0 HSNAKE;1001.6946870422137 xJEWEL;600000000.0 SHOJO;0.4 DAIKI;0.4907465835406927 XYA;,102.36518561060777,WARRIOR,Gen 0 - RARE,,,Warrior,Wizard,mining,female,wind,3310,3,207,29,0,26,∞,STR,VIT,14,9,7,12,9,9,8,9,60,0,38,3
58,---,N/A,,0,ARCHER,Gen 0 - LEGENDARY,,,Archer,Priest,fishing,male,wind,84,1,135,40,0,25,∞,VIT,LCK,8,9,7,10,12,7,8,7,0,0,0,0
